52,26,94
3,92,12
20,23,29
29,55,43
80,7,84
62,98,54
24,81,24
78,16,99
76,9,5
49,36,89
92,77,59
47,96,37
56,69,37
55,1,6
2,77,31
93,89,24
100,99,33
52,85,52
73,58,42
52,32,25
98,10,56
15,1,98
35,84,78
75,92,15
41,6,59
53,19,56
25,58,36
92,53,29
7,27,11
64,78,50
34,12,51
39,50,43
3,48,45
15,21,41
54,97,10
80,46,27
60,72,26
16,1,38
75,69,45
37,28,60
51,85,8
78,44,99
70,72,79
87,4,7
88,69,65
76,64,51
52,65,23
81,85,88
12,76,100
20,35,43
23,1,24
77,24,37
45,93,21
14,44,48
62,73,89
16,54,49
62,79,94
79,24,68
77,46,55
40,61,58
16,84,11
20,39,68
56,6,7
83,50,41
100,19,44
62,98,50
70,55,23
37,24,76
95,30,33
31,99,33
84,97,62
13,66,29
10,74,71
17,38,13
59,25,63
32,55,13
87,14,20
13,9,43
94,8,85
10,65,78
71,37,9
43,41,56
54,14,88
62,24,18
66,38,10
71,85,84
81,6,75
79,90,66
52,37,93
6,14,43
95,57,43
17,28,35
56,16,58
63,57,59
74,25,80
16,57,88
51,11,1
75,83,51
99,86,49
15,88,57
35,6,43
